model_id,model_name,business_domain,use_case,criticality_tier,regulatory_scope,created_date,decommissioned_date
M0001,Compliance_Pricing_Model_0001,Compliance,Pricing,Medium,CCAR,2023-10-28,
M0002,Compliance_Collections_Model_0002,Compliance,Collections,High,Basel,2016-10-02,
M0003,Fraud_Collections_Model_0003,Fraud,Collections,Low,Internal,2017-11-14,
M0004,Fraud_Collections_Model_0004,Fraud,Collections,Low,CCAR,2018-09-12,
M0005,Treasury_Liquidity_Stress_Model_0005,Treasury,Liquidity_Stress,Medium,Basel,2020-03-17,
M0006,Servicing_Collections_Model_0006,Servicing,Collections,Low,CCAR,2023-09-02,
M0007,Fraud_LGD_Estimation_Model_0007,Fraud,LGD_Estimation,High,Internal,2023-08-19,
M0008,Servicing_AML_Scoring_Model_0008,Servicing,AML_Scoring,Low,Internal,2024-07-27,
M0009,Risk_LGD_Estimation_Model_0009,Risk,LGD_Estimation,Medium,Internal,2016-04-24,
M0010,Servicing_Liquidity_Stress_Model_0010,Servicing,Liquidity_Stress,Medium,Internal,2018-12-15,
M0011,Risk_LGD_Estimation_Model_0011,Risk,LGD_Estimation,Medium,Internal,2022-04-25,
M0012,Compliance_Pricing_Model_0012,Compliance,Pricing,Medium,Internal,2018-05-03,
M0013,Compliance_Liquidity_Stress_Model_0013,Compliance,Liquidity_Stress,Medium,Basel,2020-05-22,
M0014,Compliance_Liquidity_Stress_Model_0014,Compliance,Liquidity_Stress,Low,Internal,2017-07-22,
M0015,Servicing_LGD_Estimation_Model_0015,Servicing,LGD_Estimation,Medium,Internal,2018-09-20,
M0016,Compliance_Prepayment_Model_0016,Compliance,Prepayment,Medium,Internal,2021-12-30,
M0017,Servicing_Collections_Model_0017,Servicing,Collections,Low,CCAR,2022-07-05,
M0018,CapitalMarkets_Prepayment_Model_0018,CapitalMarkets,Prepayment,High,CCAR,2020-06-06,
M0019,Servicing_LGD_Estimation_Model_0019,Servicing,LGD_Estimation,Medium,Internal,2017-07-03,
M0020,Fraud_Liquidity_Stress_Model_0020,Fraud,Liquidity_Stress,Medium,Internal,2016-12-21,
M0021,Risk_AML_Scoring_Model_0021,Risk,AML_Scoring,Low,Internal,2017-03-08,
M0022,Treasury_Collections_Model_0022,Treasury,Collections,Low,CCAR,2017-09-30,
M0023,Compliance_Liquidity_Stress_Model_0023,Compliance,Liquidity_Stress,Medium,Basel,2022-08-22,
M0024,Risk_Liquidity_Stress_Model_0024,Risk,Liquidity_Stress,Medium,Internal,2020-03-26,
M0025,Fraud_Liquidity_Stress_Model_0025,Fraud,Liquidity_Stress,Medium,Internal,2021-11-20,
M0026,Servicing_Prepayment_Model_0026,Servicing,Prepayment,High,Basel,2016-01-31,
M0027,Compliance_Collections_Model_0027,Compliance,Collections,High,CCAR,2017-03-28,
M0028,Compliance_Prepayment_Model_0028,Compliance,Prepayment,Medium,CCAR,2024-05-16,
M0029,Servicing_AML_Scoring_Model_0029,Servicing,AML_Scoring,Low,Internal,2023-02-21,
M0030,Servicing_PD_Estimation_Model_0030,Servicing,PD_Estimation,Low,Internal,2019-03-31,
M0031,CapitalMarkets_LGD_Estimation_Model_0031,CapitalMarkets,LGD_Estimation,Medium,Internal,2021-01-15,
M0032,Risk_Collections_Model_0032,Risk,Collections,High,Internal,2024-01-09,
M0033,Servicing_Prepayment_Model_0033,Servicing,Prepayment,Medium,Internal,2024-06-30,
M0034,Treasury_Prepayment_Model_0034,Treasury,Prepayment,Low,CCAR,2017-02-22,
M0035,Compliance_Pricing_Model_0035,Compliance,Pricing,Low,CCAR,2023-02-13,
M0036,Fraud_Prepayment_Model_0036,Fraud,Prepayment,High,Internal,2018-03-08,
M0037,Treasury_Pricing_Model_0037,Treasury,Pricing,Low,CCAR,2024-07-03,
