Tone Tag,Mapped Emotions (GoEmotions),Fallback Description Keywords
Wholesome,"love, caring, gratitude, joy","family, together, kindness"
Bittersweet,"sadness, joy, disappointment, relief","healing, end, goodbye"
Uplifting,"excitement, pride, joy, optimism","breakthrough, dream, succeed"
Grounding,"calm, serenity","stillness, quiet, peaceful"
Gentle Humor,"amusement, joy","funny, quirky, heartwarming"
Melancholic,"sadness, nostalgia","memory, lost, lonely"
Surreal,"confusion, curiosity, awe","dreamlike, weird, surreal"
Redemptive,"pride, relief, hope, optimism","overcoming, rebuild, recovery"
Warm Nostalgia,"love, longing, nostalgia","memory, back, childhood"
Empowering,"confidence, pride, inspiration","rise, brave, strong"
